"CODE_MUNI";"STATE";"REGION";"region"
4103958;"PR";41;"nao metropolitana"
2929800;"BA";29;"nao metropolitana"
3148905;"MG";31;"nao metropolitana"
2708956;"AL";27;"nao metropolitana"
3136504;"MG";31;"nao metropolitana"
2915353;"BA";29;"nao metropolitana"
1101559;"RO";11;"nao metropolitana"
2702009;"AL";27;"nao metropolitana"
2612554;"PE";26;"nao metropolitana"
4311981;"RS";43;"nao metropolitana"
4212650;"SC";42;"nao metropolitana"
2303659;"CE";23;"nao metropolitana"
4313490;"RS";43;"nao metropolitana"
3144409;"MG";31;"nao metropolitana"
2903235;"BA";29;"nao metropolitana"
3115706;"MG";31;"nao metropolitana"
2305266;"CE";23;"nao metropolitana"
3535903;"SP";35;"nao metropolitana"
3120409;"MG";31;"nao metropolitana"
4217758;"SC";42;"nao metropolitana"
3532058;"SP";35;"nao metropolitana"
5216007;"GO";52;"nao metropolitana"
2902658;"BA";29;"nao metropolitana"
2403806;"RN";24;"nao metropolitana"
4125456;"PR";41;"nao metropolitana"
3159357;"MG";31;"nao metropolitana"
4318440;"RS";43;"nao metropolitana"
5200852;"GO";52;"nao metropolitana"
3505351;"SP";35;"nao metropolitana"
4312955;"RS";43;"nao metropolitana"
5204854;"GO";52;"nao metropolitana"
5213509;"GO";52;"nao metropolitana"
4313391;"RS";43;"nao metropolitana"
3156601;"MG";31;"nao metropolitana"
3155306;"MG";31;"nao metropolitana"
2303907;"CE";23;"nao metropolitana"
2922052;"BA";29;"nao metropolitana"
4113254;"PR";41;"nao metropolitana"
2906857;"BA";29;"nao metropolitana"
3119500;"MG";31;"nao metropolitana"
4318499;"RS";43;"nao metropolitana"
2305332;"CE";23;"nao metropolitana"
2933257;"BA";29;"nao metropolitana"
2604155;"PE";26;"nao metropolitana"
3149952;"MG";31;"nao metropolitana"
3141900;"MG";31;"nao metropolitana"
1707405;"TO";17;"nao metropolitana"
4212601;"SC";42;"nao metropolitana"
2912004;"BA";29;"nao metropolitana"
4309753;"RS";43;"nao metropolitana"
2925402;"BA";29;"nao metropolitana"
3508306;"SP";35;"nao metropolitana"
2915700;"BA";29;"nao metropolitana"
