"CODE_MUNI";"COD_UF";"ACR_UF";"HIERARCHY"
3527108;35;"SP";"nao metropolitana"
5211909;52;"GO";"nao metropolitana"
2919553;29;"BA";"nao metropolitana"
3103504;31;"MG";"nao metropolitana"
3529302;35;"SP";"metropolitana"
5105259;51;"MT";"nao metropolitana"
3554003;35;"SP";"nao metropolitana"
3557105;35;"SP";"metropolitana"
4215802;42;"SC";"metropolitana"
3501905;35;"SP";"metropolitana"
5107040;51;"MT";"nao metropolitana"
3131703;31;"MG";"nao metropolitana"
3511508;35;"SP";"metropolitana"
3522604;35;"SP";"nao metropolitana"
4127106;41;"PR";"nao metropolitana"
3133808;31;"MG";"metropolitana"
2616407;26;"PE";"nao metropolitana"
3506102;35;"SP";"nao metropolitana"
3147006;31;"MG";"nao metropolitana"
3170404;31;"MG";"nao metropolitana"
3502101;35;"SP";"nao metropolitana"
3526704;35;"SP";"metropolitana"
4208302;42;"SC";"metropolitana"
4312401;43;"RS";"nao metropolitana"
5106224;51;"MT";"nao metropolitana"
4204301;42;"SC";"nao metropolitana"
4322608;43;"RS";"metropolitana"
5003207;50;"MS";"metropolitana"
3146107;31;"MG";"nao metropolitana"
3300209;33;"RJ";"metropolitana"
3134202;31;"MG";"nao metropolitana"
3132404;31;"MG";"metropolitana"
4304408;43;"RS";"metropolitana"
3524303;35;"SP";"nao metropolitana"
1505502;15;"PA";"nao metropolitana"
5006606;50;"MS";"nao metropolitana"
3148103;31;"MG";"nao metropolitana"
4104907;41;"PR";"nao metropolitana"
5204508;52;"GO";"metropolitana"
3504503;35;"SP";"nao metropolitana"
3147105;31;"MG";"nao metropolitana"
3136207;31;"MG";"metropolitana"
3539301;35;"SP";"nao metropolitana"
4210100;42;"SC";"metropolitana"
4122404;41;"PR";"nao metropolitana"
3526803;35;"SP";"nao metropolitana"
2101400;21;"MA";"nao metropolitana"
4203808;42;"SC";"metropolitana"
4303004;43;"RS";"nao metropolitana"
4317103;43;"RS";"nao metropolitana"
3169307;31;"MG";"nao metropolitana"
5103502;51;"MT";"nao metropolitana"
3555000;35;"SP";"metropolitana"
4322509;43;"RS";"nao metropolitana"
3145208;31;"MG";"metropolitana"
3151206;31;"MG";"metropolitana"
5208608;52;"GO";"metropolitana"
5208004;52;"GO";"nao metropolitana"
3513405;35;"SP";"metropolitana"
4114609;41;"PR";"nao metropolitana"
3202405;32;"ES";"nao metropolitana"
1301902;13;"AM";"nao metropolitana"
2100055;21;"MA";"nao metropolitana"
3134400;31;"MG";"nao metropolitana"
4304630;43;"RS";"metropolitana"
3546405;35;"SP";"nao metropolitana"
3510401;35;"SP";"metropolitana"
3533908;35;"SP";"nao metropolitana"
4300406;43;"RS";"nao metropolitana"
