ACR_UF,YEAR,REGION,INCN,INCM,IND_UF
PA,2022,1,3.5484063905701646,3.9654281872717148,0.8948356200119543
PB,2014,2,0,0.6457268220393022,0
PB,2015,2,2.5383773220634285,0.71774341470417,3.5366083060611055
PB,2016,2,440.04972437391416,400.20183544104196,1.0995694807070484
PB,2017,2,20.850564514453414,96.23880950876872,0.2166544310022209
PB,2018,2,20.036387838535283,40.42755295654117,0.4956121845928693
PB,2019,2,23.14100023141,80.41295336909154,0.2877770217590932
PB,2020,2,38.95885639205341,70.0654072978082,0.5560355372867736
PB,2021,2,183.9999448906569,432.8781519060466,0.4250617502418854
PB,2022,2,517.6361034687392,376.7648245260186,1.3738971097419748
PE,2014,2,0.1980928413605175,0.47285918324451853,0.41892565139859494
PE,2015,2,30.253150812546913,34.07326926213303,0.8878851800161258
PE,2016,2,316.7523544437745,392.41478963184346,0.8071876055969905
PE,2017,2,9.511905314223851,34.70754382348021,0.27405872805637416
PE,2018,2,6.3710166380358215,20.658853542116248,0.3083915874154161
PE,2019,2,20.64995989327454,35.33645880986531,0.584381134634505
PE,2020,2,17.962291812446892,102.87074308219886,0.17461030487642268
PE,2021,2,110.1864040551031,467.48154788334745,0.23570214600769301
PE,2022,2,262.44705856569124,89.75903059276854,2.9239070078240723
PI,2014,2,0,0.3898947089338524,0
PI,2015,2,3.3578873093019,36.50336588216791,0.09198842978319009
PI,2016,2,36.81374722634579,129.15446874461855,0.28503657352452
PI,2017,2,149.37142579607868,305.94784997366844,0.4882251200945992
PI,2018,2,8.944757987826998,43.00895195176908,0.20797433050351452
PI,2019,2,9.330914808297031,64.46750316412194,0.14473826890025981
PI,2020,2,3.0588867181789183,11.809732920528056,0.25901404703758063
PI,2021,2,5.073209101067754,13.372219496507684,0.3793842228205036
PI,2022,2,346.04706895719687,300.6560785058846,1.150973134076928
PR,2014,4,0.26684452115614,0.16981745260660236,1.5713609941747844
PR,2015,4,1.5464487600605084,0.8821205505944443,1.7531036534840798
PR,2016,4,23.880062386662985,9.95722757524255,2.3982641961541473
PR,2017,4,1.6398956283786104,1.2764907868248032,1.2846905322816748
PR,2018,4,1.3377965961165632,0.7316395065823168,1.8284914689281444
PR,2019,4,1.7190262444201336,2.250436172707313,0.7638635857652945
PR,2020,4,5.489521952074006,1.1526786463100966,4.762404482504138
PR,2021,4,2.702578198178831,0.23597966169955698,11.452589510106518
PR,2022,4,4.193846448207563,0.4868467636179803,8.614304872936154
RJ,2014,3,0.16543355644805646,0.14718066844062982,1.1240168848315126
RJ,2015,3,0.8900712783133431,0.7084284995736808,1.2564024158386788
RJ,2016,3,14.747515566176862,20.891817852544964,0.7058991070219567
RJ,2017,3,18.77252559109846,32.2278197423471,0.5824944331071676
RJ,2018,3,260.906588177212,225.67385812453057,1.1561223366564655
RJ,2019,3,732.7361376825953,420.2935896922613,1.7433911809578257
RJ,2020,3,51.46129601871896,13.957210778522303,3.687075937687268
RJ,2021,3,5.50282980839234,2.2974433103922753,2.3951972105256267
RJ,2022,3,5.699751673219101,3.8595610403479492,1.4767875449134635
RN,2014,2,0.20800777949095295,3.2985415734043304,0.0630605298923894
RN,2015,2,89.40028513116343,197.76438526575586,0.45205452443334165
RN,2016,2,689.8827783488935,550.3881463746316,1.253447740277663
RN,2017,2,56.89602175687587,65.04476285898646,0.8747210268138478
RN,2018,2,78.88968549483363,44.74141613756355,1.7632362206032237
RN,2019,2,190.42645921235896,640.266586305316,0.29741745592444935
RN,2020,2,240.80434748372159,45.79240012211307,5.258609438281825
RN,2021,2,211.88506473002843,30.223935333424386,7.010505494819087
RN,2022,2,522.328000465161,304.8376408217363,1.713462940656365
RO,2014,1,0,1.2679431566994595,0
RO,2015,1,1.6224299993033096,5.691337922495083,0.28507005231417293
RO,2016,1,49.21339020634607,133.98918232382954,0.3672937572482941
RO,2017,1,9.669745338337817,15.257692982811468,0.6337619553120681
RO,2018,1,2.145633927543893,5.326042572833632,0.4028570741225495
RO,2019,1,5.806341105120902,6.318291318936591,0.9189733128826586
RO,2020,1,8.835924564254459,1.9860815405637295,4.448923361800377
RO,2021,1,10.10597930753067,3.7839544672844516,2.67074548462609
RO,2022,1,9.723380624975691,12.449784662154826,0.7810079361880911
RR,2014,1,0,47.232243878487715,0
RR,2015,1,1.6063353867654027,112.28939180077553,0.014305317367960918
RR,2016,1,11.042751222590313,16.776401539299368,0.6582312182217529
RR,2017,1,103.86872233720129,985.9587883961212,0.10534793498434819
RR,2018,1,1.4502947724124928,9.118575678479022,0.15904838908508154
RR,2019,1,5.616360458014196,6.906673573340241,0.8131787898147302
RR,2020,1,1.3640610826552813,1.6509823344890209,0.8262117977643039
RR,2021,1,21.93667612824314,3.782750657004062,5.799133518786296
RR,2022,1,9.222114630884862,19.04777679318255,0.4841570085063984
RS,2014,4,0.047611165326121405,0.16305795630087536,0.29198921908642744
RS,2015,4,0.5540206545231671,0.7098645618979588,0.7804596598566448
RS,2016,4,2.226436134205781,4.9258010836358626,0.4519947306849813
RS,2017,4,0.39384536276229903,1.004979472289299,0.39189393775888437
RS,2018,4,0.6818620415488671,0.21897763720740607,3.1138432684020474
RS,2019,4,0.4903259481282598,0.8902228603691379,0.5507901110570698
RS,2020,4,0.552244455584004,0.21631400928183747,2.5529759141234343
RS,2021,4,4.722543486361058,0.2541981310180185,18.578199090009463
RS,2022,4,2.8474245924383603,1.178464613602128,2.416215607641236
SC,2014,4,0.07284010867744214,0.26834955059117405,0.2714374162989108
SC,2015,4,0.9116649448994506,2.942294808886636,0.3098482661037031
SC,2016,4,4.481419182465842,12.736067466254063,0.35186836080603134
SC,2017,4,0.4922376467102586,1.2797407172178876,0.38463857567989734
SC,2018,4,0.6969659446176921,0.9021613259317612,0.7725513437387251
SC,2019,4,1.4705152501622163,1.8843962039016247,0.7803641543734424
SC,2020,4,1.0001777588653256,1.8925560862500894,0.5284798512085725
SC,2021,4,1.4847208724759746,1.6590666436701595,0.8949133406669547
SC,2022,4,1.9864502265426423,2.4205326555003617,0.8206665677608932
SE,2014,2,4.055314489638671,1.4244280647391598,2.846977386942511
SE,2015,2,75.46350458892509,31.650218634957398,2.384296470722521
SE,2016,2,235.30227262966676,481.5939481114485,0.48859059286852596
SE,2017,2,22.661948792970758,20.398013611994035,1.110988021875107
SE,2018,2,0.5267252886830814,3.686764095552498,0.14286926828827828
SE,2019,2,8.747166516145624,18.31196936906942,0.47767481147715235
SE,2020,2,65.07277974424021,302.88792221558504,0.21484111769212005
SE,2021,2,144.9876642369175,112.00598449398093,1.2944635493535523
SE,2022,2,142.93098587136996,233.36199557660305,0.6124861313351756
SP,2014,3,0.27652724562949993,0.49057021509372767,0.5636853545555492
SP,2015,3,1.4224960035621368,3.439158885469945,0.41361741371473726
SP,2016,3,5.2784132135764485,9.677213456680057,0.5454476370915252
SP,2017,3,2.162511574525186,2.228616600591656,0.9703380895354901
SP,2018,3,1.6563141994809443,1.4488489148530577,1.143193180807902
SP,2019,3,3.667995961711113,1.8082861932828427,2.0284377414020236
SP,2020,3,2.31585718880669,0.4140972031069713,5.592544869733033
SP,2021,3,79.05267157880249,1.2977931351234049,60.91315282792392
SP,2022,3,6.082175166946653,1.3576989946908233,4.479767010751667
TO,2014,1,0,0.9773371796981005,0
TO,2015,1,9.891174599463628,28.29989575405632,0.3495127574116909
TO,2016,1,75.76197128409288,99.73707109132775,0.7596169654382449
TO,2017,1,187.34870013682772,224.9849057827452,0.8327167526417947
TO,2018,1,11.315429808835797,25.083931753351536,0.4511027186686517
TO,2019,1,11.457252330559356,13.23021781749516,0.8659912095633605
TO,2020,1,1.7506964489310906,5.914307597223824,0.2960103816299422
TO,2021,1,19.67310045889409,13.676208489433675,1.4384908269052532
TO,2022,1,76.48205747179796,475.04656369609194,0.16099907528375865
