COD_UF;UF;COD_CIDADE;NOME_CIDADE;pop2018;area;hierarquia
31;MG;3123502;Douradoquara;1905;312,878;Centro Local
31;MG;3167707;Sobrália;5594;206,787;Centro Local
43;RS;4311429;Lajeado do Bugre;2561;67,933;Centro Local
25;PB;2505600;Diamante;6575;269,111;Centro Local
17;TO;1718899;Santa Rita do Tocantins;2344;3274,948;Centro Local
43;RS;4306551;Dom Pedro de Alcântara;2541;78,219;Centro Local
35;SP;3507159;Bom Sucesso de Itararé;3923;133,578;Centro Local
25;PB;2503555;Cacimbas;7145;126,543;Centro Local
43;RS;4312625;Muliterno;1888;111,132;Centro Local
17;TO;1717206;Piraquê;3023;1367,610;Centro Local
21;MA;2104628;Governador Luiz Rocha;7772;373,164;Centro Local
23;CE;2310951;Pires Ferreira;10853;243,099;Centro Local
31;MG;3145802;Onça de Pitangui;3144;246,976;Centro Local
43;RS;4315453;Relvado;2101;123,437;Centro Local
29;BA;2919108;Lamarão;8430;189,257;Centro Local
25;PB;2513158;Santa Cecília;6574;223,709;Centro Local
42;SC;4204459;Coronel Martins;2544;107,369;Centro Local
26;PE;2611533;Quixaba;6822;210,705;Centro Local
22;PI;2203008;Cristalândia do Piauí;8264;1202,895;Centro Local
42;SC;4200754;Alto Bela Vista;1948;103,962;Centro Local
35;SP;3554607;Timburi;2663;196,790;Centro Local
31;MG;3117836;Cônego Marinho;7595;1610,470;Centro Local
43;RS;4318465;São José do Herval;2000;103,094;Centro Local
52;GO;5204607;Campestre de Goiás;3610;273,815;Centro Local
31;MG;3125309;Faria Lemos;3262;165,224;Centro Local
21;MA;2100550;Amapá do Maranhão;6918;502,402;Centro Local
43;RS;4312005;Mariano Moro;2054;98,727;Centro Local
29;BA;2922201;Muniz Ferreira;7399;104,540;Centro Local
29;BA;2929354;São José da Vitória;5710;127,925;Centro Local
17;TO;1717008;Pindorama do Tocantins;4464;1559,086;Centro Local
35;SP;3515657;Fernão;1704;100,504;Centro Local
35;SP;3549607;São José do Barreiro;4151;570,685;Centro Local
35;SP;3549300;São João do Pau d'Alho;2111;117,665;Centro Local
25;PB;2504702;Congo;4785;333,471;Centro Local
52;GO;5214804;Nova Aurora;2199;302,655;Centro Local
24;RN;2406205;Lagoa d'Anta;6728;105,652;Centro Local
15;PA;1506906;Santarém Novo;6664;229,510;Centro Local
29;BA;2931103;Tanquinho;7909;243,839;Centro Local
29;BA;2910776;Feira da Mata;5668;1176,111;Centro Local
17;TO;1720101;São Bento do Tocantins;5256;1105,900;Centro Local
31;MG;3117207;Conceição das Pedras;2811;102,206;Centro Local
31;MG;3168309;Taquaraçu de Minas;4055;329,287;Centro Local
42;SC;4213906;Presidente Castello Branco;1590;65,577;Centro Local
22;PI;2201960;Brasileira;8310;880,342;Centro Local
31;MG;3122108;Divino das Laranjeiras;4984;342,249;Centro Local
27;AL;2703403;Jacaré dos Homens;5288;148,992;Centro Local
31;MG;3140209;Maripá de Minas;2959;77,338;Centro Local
25;PB;2502904;Brejo dos Santos;6433;93,846;Centro Local
41;PR;4119251;Pinhal de São Bento;2725;97,463;Centro Local
31;MG;3171907;Virgolândia;5420;281,022;Centro Local
21;MA;2107258;Nova Colinas;5340;743,087;Centro Local
31;MG;3144375;Natalândia;3314;468,660;Centro Local
42;SC;4206751;Ibiam;1959;146,974;Centro Local
22;PI;2202091;Caldeirão Grande do Piauí;5770;467,083;Centro Local
31;MG;3153707;Quartel Geral;3542;556,436;Centro Local
35;SP;3555901;Uru;1177;146,901;Centro Local
25;PB;2508802;Malta;5766;173,377;Centro Local
31;MG;3110400;Camacho;2934;223,001;Centro Local
24;RN;2411809;São Fernando;3573;404,428;Centro Local
17;TO;1700251;Abreulândia;2564;1895,212;Centro Local
21;MA;2109239;Presidente Médici;6959;437,687;Centro Local
29;BA;2922854;Nova Redenção;9115;565,356;Centro Local
25;PB;2513307;Santa Helena;5907;210,322;Centro Local
31;MG;3146750;Palmópolis;5671;433,154;Centro Local
31;MG;3102407;Alvorada de Minas;3606;374,008;Centro Local
25;PB;2509396;Maturéia;6506;83,687;Centro Local
42;SC;4215604;Santa Rosa de Lima;2137;202,845;Centro Local
27;AL;2709004;Tanque d'Arca;6187;124,761;Centro Local
35;SP;3501509;Alvinlândia;3206;84,879;Centro Local
31;MG;3153103;Presidente Bernardes;5398;236,798;Centro Local
31;MG;3112059;Cantagalo;4498;141,855;Centro Local
22;PI;2201705;Bertolínia;5495;1225,335;Centro Local
23;CE;2313708;Umari;7729;263,930;Centro Local
52;GO;5220058;São João da Paraúna;1417;287,825;Centro Local
42;SC;4215687;Santa Terezinha do Progresso;2484;119,260;Centro Local
35;SP;3549003;São Francisco;2826;75,579;Centro Local
31;MG;3102506;Amparo do Serra;4751;136,186;Centro Local
31;MG;3168200;Tapiraí;1879;407,920;Centro Local
24;RN;2404903;Itaú;5858;133,031;Centro Local
31;MG;3112208;Capela Nova;4673;111,073;Centro Local
25;PB;2503100;Cabaceiras;5503;452,925;Centro Local
31;MG;3139250;Mamonas;6532;284,365;Centro Local
31;MG;3116308;Cipotânea;6774;153,479;Centro Local
31;MG;3115201;Conceição da Barra de Minas;3962;273,014;Centro Local
31;MG;3148400;Paulistas;4849;220,564;Centro Local
22;PI;2205854;Madeiro;8276;177,153;Centro Local
31;MG;3138351;Leme do Prado;4915;280,036;Centro Local
22;PI;2209104;Santa Cruz do Piauí;6232;583,097;Centro Local
31;MG;3135456;Jenipapo de Minas;7645;284,453;Centro Local
42;SC;4210209;Major Gercino;3430;306,058;Centro Local
31;MG;3146206;Ouro Verde de Minas;5954;175,482;Centro Local
