CODE_MUNI;YEAR;POPULACAO;CASESy;INCy
1100940;2019;25215;0;0
1100940;2020;26183;0;0
1100940;2021;27131;0;0
1100940;2022;14338;1;6,974473427
1101005;2014;10327;0;0
1101005;2015;10127;0;0
1101005;2016;9933;0;0
1101005;2017;9745;0;0
1101005;2018;8095;0;0
1101005;2019;7767;0;0
1101005;2020;7445;1;13,43183345
1101005;2021;7130;0;0
1101005;2022;8012;1;12,48127808
1101104;2014;9831;0;0
1101104;2015;9995;0;0
1101104;2016;10155;0;0
1101104;2017;10310;1;9,699321048
1101104;2018;10272;0;0
1101104;2019;10458;0;0
1101104;2020;10641;0;0
1101104;2021;10819;0;0
1101104;2022;9465;0;0
1101203;2014;10860;0;0
1101203;2015;10823;0;0
1101203;2016;10786;1;9,271277582
1101203;2017;10751;1;9,301460329
1101203;2018;9762;0;0
1101203;2019;9660;0;0
1101203;2020;9559;0;0
1101203;2021;9461;0;0
1101203;2022;6440;0;0
1101302;2014;12414;0;0
1101302;2015;12360;0;0
1101302;2016;12308;0;0
1101302;2017;12258;0;0
1101302;2018;11080;0;0
1101302;2019;10947;0;0
1101302;2020;10818;0;0
1101302;2021;10691;0;0
1101302;2022;9200;0;0
1101401;2014;15710;0;0
1101401;2015;15873;0;0
1101401;2016;16032;3;18,71257485
1101401;2017;16186;1;6,178178673
1101401;2018;15695;0;0
1101401;2019;15852;0;0
1101401;2020;16007;0;0
1101401;2021;16158;2;12,37776953
1101401;2022;11966;1;8,357011533
1101435;2014;7853;0;0
1101435;2015;7824;0;0
1101435;2016;7796;0;0
1101435;2017;7769;5;64,35834728
1101435;2018;7047;0;0
1101435;2019;6970;0;0
1101435;2020;6895;0;0
1101435;2021;6822;0;0
1101435;2022;6194;0;0
1101450;2014;5589;0;0
1101450;2015;5697;0;0
1101450;2016;5802;0;0
1101450;2017;5904;0;0
1101450;2018;5947;0;0
1101450;2019;6074;0;0
1101450;2020;6198;0;0
1101450;2021;6319;28;443,1080867
1101450;2022;3953;0;0
1101468;2014;2432;0;0
1101468;2015;2424;0;0
1101468;2016;2417;16;661,9776583
1101468;2017;2410;2;82,98755187
1101468;2018;2191;6;273,8475582
1101468;2019;2169;8;368,8335639
1101468;2020;2148;0;0
1101468;2021;2127;1;47,01457452
1101468;2022;2180;0;0
1101476;2014;3548;0;0
1101476;2015;3501;0;0
1101476;2016;3456;2;57,87037037
1101476;2017;3411;2;58,63383172
1101476;2018;2939;0;0
1101476;2019;2856;2;70,0280112
1101476;2020;2776;10;360,2305476
1101476;2021;2697;7;259,5476455
1101476;2022;3071;0;0
1101484;2014;6160;0;0
1101484;2015;6103;0;0
1101484;2016;6048;1;16,53439153
1101484;2017;5994;0;0
1101484;2018;5280;0;0
1101484;2019;5172;0;0
1101484;2020;5066;0;0
1101484;2021;4962;0;0
1101484;2022;5259;0;0
1101492;2014;18640;0;0
1101492;2015;19002;0;0
1101492;2016;19353;5;25,83578773
1101492;2017;19694;0;0
1101492;2018;19842;0;0
1101492;2019;20266;0;0
1101492;2020;20681;0;0
1101492;2021;21088;0;0
1101492;2022;16302;0;0
1101500;2014;12543;0;0
1101500;2015;12581;0;0
1101500;2016;12617;0;0
1101500;2017;12653;0;0
1101500;2018;11860;0;0
1101500;2019;11856;0;0
1101500;2020;11851;0;0
1101500;2021;11846;0;0
1101500;2022;11183;2;17,88428865
1101559;2014;5041;0;0
1101559;2015;5003;0;0
1101559;2016;4966;7;140,9585179
1101559;2017;4931;0;0
1101559;2018;4384;2;45,62043796
1101559;2019;4308;0;0
1101559;2020;4233;0;0
1101559;2021;4160;0;0
1101559;2022;4284;0;0
1101609;2014;11345;0;0
1101609;2015;11347;0;0
1101609;2016;11348;0;0
1101609;2017;11350;0;0
1101609;2018;10494;0;0
1101609;2019;10444;0;0
1101609;2020;10395;1;9,62000962
1101609;2021;10348;1;9,663703131
1101609;2022;9253;0;0
1101708;2014;13391;0;0
1101708;2015;13293;0;0
1101708;2016;13198;0;0
1101708;2017;13106;3;22,89027926
1101708;2018;11665;1;8,572653236
1101708;2019;11467;0;0
1101708;2020;11272;0;0
1101708;2021;11081;0;0
1101708;2022;10828;2;18,4706317
1101757;2014;10682;0;0
1101757;2015;10843;0;0
1101757;2016;10999;0;0
1101757;2017;11149;0;0
1101757;2018;11028;1;9,067827349
1101757;2019;11204;0;0
1101757;2020;11377;0;0
1101757;2021;11545;0;0
1101757;2022;7806;0;0
1101807;2014;8327;0;0
1101807;2015;8231;0;0
1101807;2016;8138;0;0
1101807;2017;8047;0;0
1101807;2018;6998;0;0
1101807;2019;6825;0;0
1101807;2020;6656;1;15,02403846
1101807;2021;6490;2;30,81664099
1101807;2022;6487;0;0
1200013;2014;13613;0;0
1200013;2015;13869;0;0
1200013;2016;14120;0;0
1200013;2017;14366;0;0
1200013;2018;15020;0;0
1200013;2019;15256;0;0
1200013;2020;15490;0;0
1200013;2021;15721;0;0
1200013;2022;12707;1;7,86967813
1200054;2014;6610;0;0
1200054;2015;6738;0;0
1200054;2016;6863;44;641,1190441
1200054;2017;6986;0;0
1200054;2018;7300;1;13,69863014
1200054;2019;7417;1;13,48254011
1200054;2020;7534;0;0
1200054;2021;7649;0;0
1200054;2022;8157;0;0
1200104;2014;23378;0;0
1200104;2015;23849;2;8,386095853
1200104;2016;24311;46;189,2147588
1200104;2017;24765;31;125,1766606
1200104;2018;25848;7;27,08139895
1200104;2019;26278;1;3,805464647
1200104;2020;26702;2;7,49007565
1200104;2021;27123;2;7,373815581
1200104;2022;25786;0;0
1200138;2014;9173;0;0
1200138;2015;9339;0;0
1200138;2016;9503;0;0
1200138;2017;9664;0;0
1200138;2018;10111;0;0
1200138;2019;10266;0;0
1200138;2020;10420;0;0
1200138;2021;10572;1;9,458948165
1200138;2022;11962;0;0
1200179;2014;10170;0;0
1200179;2015;10498;0;0
1200179;2016;10820;0;0
1200179;2017;11136;0;0
1200179;2018;11456;0;0
1200179;2019;11733;0;0
1200179;2020;12008;0;0
1200179;2021;12280;0;0
1200179;2022;9737;0;0
1200203;2014;80953;0;0
1200203;2015;81519;3;3,680123652
1200203;2016;82075;34;41,42552543
1200203;2017;82622;12;14,52397666
1200203;2018;87673;29;33,07745828
1200203;2019;88376;2;2,263057844
1200203;2020;89072;19;21,33105802
1200203;2021;89760;56;62,3885918
