UF_ACR;CODE_MUNI_7;YEAR;CASES
RR;1400308;2014;1
RR;1400308;2015;39
RR;1400308;2016;9
RR;1400308;2017;59
RR;1400308;2018;3
RR;1400308;2019;9
RR;1400308;2021;3
RR;1400308;2022;1
RR;1400456;2017;1
RR;1400456;2022;7
RR;1400472;2015;2
RR;1400472;2016;3
RR;1400472;2017;106
RR;1400472;2018;1
RR;1400472;2019;3
RR;1400472;2021;3
RR;1400472;2022;2
RR;1400506;2016;1
RR;1400506;2017;1
RR;1400506;2019;2
RR;1400506;2020;1
RR;1400506;2021;25
RR;1400506;2022;1
RR;1400605;2017;4
RR;1400704;2017;5
RR;1400704;2019;1
PA;1500107;2015;2
PA;1500107;2016;59
PA;1500107;2017;34
PA;1500107;2018;33
PA;1500107;2019;27
PA;1500107;2020;4
PA;1500107;2021;4
PA;1500131;2016;93
PA;1500131;2017;56
PA;1500206;2018;1
PA;1500206;2019;2
PA;1500206;2020;1
PA;1500305;2022;1
PA;1500347;2016;1
PA;1500347;2017;52
PA;1500347;2019;2
PA;1500404;2017;2
PA;1500404;2018;5
PA;1500404;2019;3
PA;1500404;2021;1
PA;1500602;2016;7
PA;1500602;2017;13
PA;1500602;2018;6
PA;1500602;2019;16
PA;1500602;2020;21
PA;1500602;2022;2
PA;1500800;2014;11
PA;1500800;2015;284
PA;1500800;2016;292
PA;1500800;2017;203
PA;1500800;2018;790
PA;1500800;2019;321
PA;1500800;2020;11
PA;1500800;2021;4
PA;1500800;2022;17
PA;1500859;2016;1
PA;1500859;2017;190
PA;1500859;2019;2
PA;1500909;2016;1
PA;1500909;2017;12
PA;1500909;2018;4
PA;1500909;2019;2
PA;1500909;2020;1
PA;1500909;2022;1
PA;1500958;2020;1
PA;1501204;2021;1
PA;1501303;2016;11
PA;1501303;2017;67
PA;1501303;2018;49
PA;1501303;2019;6
PA;1501303;2020;7
PA;1501303;2021;1
PA;1501303;2022;2
PA;1501402;2014;13
PA;1501402;2015;105
PA;1501402;2016;352
PA;1501402;2017;1082
PA;1501402;2018;3938
PA;1501402;2019;1125
PA;1501402;2020;44
PA;1501402;2021;61
PA;1501402;2022;27
PA;1501451;2022;1
PA;1501501;2014;1
PA;1501501;2015;8
PA;1501501;2016;11
PA;1501501;2017;21
PA;1501501;2018;41
PA;1501501;2019;17
PA;1501501;2020;4
PA;1501501;2021;1
PA;1501501;2022;2
PA;1501576;2016;21
PA;1501576;2017;1
PA;1501600;2015;5
PA;1501600;2016;4
PA;1501600;2017;1
PA;1501600;2018;1
PA;1501600;2019;1
PA;1501600;2020;1
PA;1501709;2016;23
PA;1501709;2017;101
PA;1501709;2018;4
PA;1501709;2019;57
PA;1501709;2020;15
PA;1501709;2021;2
PA;1501709;2022;4
PA;1501725;2017;3
PA;1501725;2022;1
PA;1501758;2018;1
PA;1501782;2016;145
PA;1501782;2017;134
PA;1501782;2018;9
PA;1501782;2019;2
PA;1501782;2020;2
PA;1501808;2015;2
PA;1501808;2019;1
PA;1501808;2021;4
PA;1501956;2016;1
PA;1502103;2015;56
PA;1502103;2016;37
PA;1502103;2017;17
PA;1502103;2018;21
PA;1502103;2019;8
PA;1502103;2020;31
PA;1502103;2021;10
PA;1502103;2022;66
PA;1502152;2015;1
PA;1502152;2016;12
PA;1502152;2017;256
PA;1502152;2018;1
PA;1502152;2019;9
PA;1502152;2020;3
PA;1502152;2021;2
PA;1502202;2015;6
PA;1502202;2016;599
PA;1502202;2017;13
PA;1502202;2018;52
PA;1502202;2019;496
PA;1502202;2020;24
PA;1502202;2021;7
PA;1502202;2022;2
PA;1502301;2016;17
PA;1502301;2017;9
PA;1502301;2018;2
PA;1502301;2019;1
PA;1502400;2014;1
PA;1502400;2015;8
PA;1502400;2016;13
PA;1502400;2017;17
PA;1502400;2018;167
PA;1502400;2019;111
PA;1502400;2020;28
PA;1502400;2021;18
PA;1502400;2022;11
PA;1502608;2014;1
PA;1502608;2016;2
PA;1502608;2017;1
PA;1502707;2015;3
PA;1502707;2016;17
PA;1502707;2017;19
PA;1502707;2018;4
PA;1502707;2019;18
PA;1502707;2020;1
PA;1502707;2021;2
PA;1502707;2022;4
PA;1502756;2016;1
PA;1502756;2018;6
PA;1502764;2016;6
PA;1502764;2020;1
PA;1502772;2016;32
PA;1502772;2017;12
PA;1502905;2017;5
PA;1502905;2018;9
PA;1502905;2019;6
PA;1502905;2020;1
PA;1502905;2022;9
PA;1502939;2016;68
PA;1502939;2017;18
PA;1502939;2018;1
PA;1502939;2019;17
PA;1502939;2020;3
PA;1502954;2016;11
PA;1502954;2017;6
PA;1503077;2017;1
PA;1503077;2019;1
PA;1503093;2016;1
PA;1503093;2017;17
PA;1503093;2018;3
PA;1503093;2020;3
PA;1503200;2016;1
PA;1503200;2017;2
PA;1503200;2018;35
PA;1503200;2019;6
PA;1503200;2020;9
PA;1503200;2022;6
PA;1503309;2016;2
PA;1503309;2017;4
PA;1503309;2018;15
PA;1503309;2019;2
PA;1503309;2020;1
PA;1503309;2021;12
PA;1503309;2022;2
PA;1503408;2015;38
PA;1503408;2016;3
PA;1503408;2017;5
PA;1503408;2018;11
PA;1503408;2019;1
PA;1503408;2020;4
PA;1503408;2021;2
PA;1503408;2022;2
PA;1503457;2015;10
PA;1503457;2016;21
PA;1503457;2017;31
PA;1503457;2018;3
PA;1503457;2019;3
PA;1503457;2020;3
PA;1503507;2016;1
PA;1503507;2018;4
PA;1503507;2019;1
PA;1503507;2022;1
PA;1503606;2014;1
PA;1503606;2015;1
PA;1503606;2016;6
PA;1503606;2018;4
PA;1503606;2019;1
PA;1503606;2021;4
PA;1503606;2022;1
PA;1503705;2016;2
PA;1503705;2017;257
PA;1503705;2018;2
PA;1503705;2019;13
PA;1503804;2016;6
PA;1503804;2017;393
PA;1503804;2018;2
PA;1503903;2016;14
PA;1503903;2017;15
PA;1503903;2018;6
PA;1503903;2019;4
PA;1503903;2021;1
PA;1503903;2022;4
PA;1504000;2017;31
PA;1504000;2018;1
PA;1504000;2019;1
PA;1504000;2020;1
PA;1504059;2016;2
PA;1504059;2017;3
PA;1504059;2018;12
PA;1504059;2019;104
PA;1504059;2021;1
PA;1504059;2022;1
PA;1504109;2018;5
PA;1504109;2019;1
PA;1504109;2021;1
PA;1504208;2015;2
PA;1504208;2016;82
PA;1504208;2017;196
PA;1504208;2018;6
PA;1504208;2019;2
PA;1504208;2020;2
PA;1504307;2017;3
PA;1504307;2018;6
PA;1504307;2019;124
PA;1504307;2022;1
PA;1504406;2016;1
PA;1504406;2018;115
PA;1504406;2019;107
PA;1504422;2015;20
PA;1504422;2016;32
PA;1504422;2017;427
PA;1504422;2018;1645
PA;1504422;2019;219
PA;1504422;2020;7
PA;1504422;2021;13
PA;1504422;2022;12
PA;1504455;2021;1
PA;1504455;2022;9
PA;1504604;2016;2
PA;1504604;2018;2
PA;1504604;2019;7
PA;1504604;2020;6
PA;1504604;2021;5
PA;1504604;2022;1
PA;1504703;2017;3
PA;1504703;2018;3
PA;1504703;2020;1
PA;1504703;2021;5
PA;1504703;2022;3
PA;1504752;2016;1
PA;1504752;2017;3
PA;1504752;2018;3
PA;1504752;2019;1
PA;1504752;2020;2
PA;1504802;2017;1
PA;1504901;2014;1
PA;1504901;2016;1
PA;1504901;2017;1
PA;1504901;2021;1
PA;1504950;2016;2
PA;1504976;2015;1
PA;1504976;2016;185
PA;1504976;2017;43
PA;1504976;2018;1
PA;1504976;2019;2
PA;1505007;2018;109
PA;1505007;2019;1
PA;1505031;2016;2
PA;1505031;2018;7
PA;1505064;2016;3
PA;1505064;2017;181
PA;1505064;2018;5
PA;1505064;2019;2
PA;1505106;2018;1
PA;1505106;2019;1
PA;1505106;2020;1
PA;1505106;2021;1
PA;1505106;2022;15
PA;1505205;2016;4
PA;1505304;2017;4
PA;1505403;2022;1
PA;1505437;2017;37
PA;1505437;2018;1
PA;1505437;2021;1
PA;1505486;2017;56
PA;1505486;2021;4
PA;1505494;2017;6
PA;1505494;2019;2
PA;1505502;2017;204
PA;1505502;2018;75
PA;1505502;2019;3
PA;1505502;2022;2
PA;1505536;2015;9
PA;1505536;2016;83
PA;1505536;2017;1470
PA;1505536;2018;109
PA;1505536;2019;429
PA;1505536;2020;66
PA;1505536;2021;20
PA;1505536;2022;10
PA;1505551;2017;6
PA;1505601;2016;4
PA;1505601;2018;2
PA;1505601;2019;1
PA;1505700;2016;1
PA;1505700;2018;1
PA;1505700;2019;1
PA;1505700;2022;1
PA;1505809;2016;1
PA;1505809;2018;7
PA;1506005;2022;3
PA;1506104;2016;29
PA;1506104;2017;1
PA;1506104;2019;1
PA;1506112;2016;1
PA;1506112;2017;2
PA;1506112;2018;1
PA;1506138;2015;6
PA;1506138;2016;25
PA;1506138;2017;123
PA;1506138;2018;3
PA;1506138;2020;2
PA;1506138;2022;1
PA;1506161;2017;71
PA;1506161;2018;2
PA;1506161;2019;1
PA;1506161;2020;1
PA;1506187;2016;80
PA;1506187;2017;152
PA;1506187;2018;2
PA;1506195;2016;5
PA;1506195;2019;2
PA;1506195;2020;1
PA;1506195;2021;3
PA;1506203;2016;77
PA;1506203;2017;1
PA;1506203;2018;19
PA;1506203;2019;6
PA;1506203;2020;1
PA;1506302;2016;19
PA;1506302;2017;1
PA;1506302;2018;11
PA;1506302;2019;3
PA;1506302;2020;4
PA;1506302;2022;1
PA;1506351;2016;2
PA;1506351;2018;20
PA;1506351;2019;17
PA;1506351;2020;4
PA;1506351;2021;2
PA;1506500;2016;2
PA;1506500;2017;2
PA;1506500;2018;58
PA;1506500;2019;42
PA;1506500;2020;1
PA;1506500;2021;1
PA;1506500;2022;1
PA;1506559;2016;4
PA;1506559;2018;1
PA;1506559;2019;6
PA;1506559;2021;18
PA;1506559;2022;8
PA;1506583;2017;13
PA;1506609;2019;1
PA;1506708;2016;1
PA;1506708;2017;24
PA;1506708;2018;3
PA;1506708;2019;2
PA;1506708;2020;1
PA;1506708;2021;1
PA;1506807;2014;9
PA;1506807;2015;3
PA;1506807;2016;19
PA;1506807;2017;49
PA;1506807;2018;14
PA;1506807;2019;37
PA;1506807;2020;41
PA;1506807;2021;16
PA;1506807;2022;48
PA;1506906;2017;3
PA;1506906;2018;70
PA;1506906;2022;3
PA;1507003;2018;7
PA;1507003;2019;3
PA;1507003;2020;1
PA;1507102;2017;27
